Gender,Age,Interest/Hobby,Gift Recommendation
Male,1,Playing,"Baby Walker, Baby Rattles Toy, Gift Card, Chocolate Box, Notebook"
Male,1,Toys,"Building Blocks, Toy Car, Action Figure, Puzzle Set, Puzzle"
Male,2,Drawing,"Finger Paint Kit, Sketch Book, Color Pencils, Marker Set, Art Apron"
Male,2,Music,"Baby Xylophone, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,2,Toys,"Building Blocks, Toy Car, Action Figure, Soft toys, Puzzle Set"
Male,3,Drawing,"Coloring Book, Sketch Book, Color Pencils, Marker Set, Art Apron"
Male,3,Music,"Rattle Drum Set, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,3,Toys,"Plush Animal Set, Building Blocks, Toy Car, Action Figure, Teddy Bear"
Male,4,Art,"Clay Modeling Set, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,4,Fashion,"Cartoon Hoodies, Wallet, Watch, Sunglasses, Backpack"
Male,4,Drawing,"Washable Markers Set, Sketch Book, Color Pencils, Marker Set, Art Apron"
Male,4,Music,"Toy Keyboard, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,4,Reading,"Story Books, Bookmark Set, Novel, Book Light, Book Cover"
Male,4,Sports,"Bicycle, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,4,Toys,"Remote Control Car, Plush Animal Set, Building Blocks, Toy Car, Action Figure"
Male,5,Art,"DIY Craft Kit, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,5,Fashion,"Kids Watches, Wallet, Watch, Sunglasses, Backpack"
Male,5,Drawing,"Coloring Set, Sketch Book, Color Pencils, Marker Set, Art Apron"
Male,5,Music,"Kids Karaoke Mic, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,5,Reading,"Comic Book, Bookmark Set, Novel, Book Light, Book Cover"
Male,5,Sports,"Cricket Bat, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,5,Toys,"Lego Set, Puzzle, Building Blocks, Toy Car, Plush Toy"
Male,6,Art,"Clay Modeling Set, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,6,Fashion,"Sunglasses, Wallet, Watch, Backpack, Perfume"
Male,6,Drawing,"Crayons and Sketchpad, Sketch Book, Color Pencils, Marker Set, Art Apron"
Male,6,Music,"Toy Keyboard, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,6,Reading,"Illustrated Encyclopedia, Bookmark Set, Novel, Book Light, Book Cover"
Male,6,Sports,"Football, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,6,Toys,"Action Figure, Puzzle, Building Blocks, Toy Car, Plush Toy"
Male,7,Art,"DIY Craft Kit, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,7,Drawing,"Washable Markers Set, Sketch Book, Color Pencils, Marker Set, Art Apron"
Male,7,Fashion,"Sports T-Shirts, Wallet, Watch, Sunglasses, Backpack"
Male,7,Music,"Kids Karaoke Mic, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,7,Reading,"Story Books, Bookmark Set, Novel, Book Light, Book Cover"
Male,7,Sports,"Skateboard, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,7,Toys,"Board Game, Puzzle, Building Blocks, Toy Car, Plush Toy"
Male,8,Art,"Clay Modeling Set, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,8,Fashion,"Caps, Wallet, Watch, Sunglasses, Backpack"
Male,8,Drawing,"Coloring Set, Sketch Book, Color Pencils, Marker Set, Art Apron"
Male,8,Music,"Toy Keyboard, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,8,Reading,"Comic Book, Bookmark Set, Novel, Book Light, Book Cover"
Male,8,Sports,"Bicycle, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,8,Toys,"Remote Control Car, Puzzle, Building Blocks, Toy Car, Plush Toy"
Male,9,Art,"DIY Craft Kit, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,9,Drawing,"Crayons and Sketchpad, Sketch Book, Color Pencils, Marker Set, Art Apron"
Male,9,Music,"Kids Karaoke Mic, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,9,Fashion,"Sneakers, Wallet, Watch, Sunglasses, Backpack"
Male,9,Reading,"Illustrated Encyclopedia, Bookmark Set, Novel, Book Light, Book Cover"
Male,9,Sports,"Cricket Bat, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,9,Toys,"Lego Set, Puzzle, Building Blocks, Toy Car, Plush Toy"
Male,10,Art,"Clay Modeling Set, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,10,Drawing,"Washable Markers Set, Sketch Book, Color Pencils, Marker Set, Art Apron"
Male,10,Music,"Toy Keyboard, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,10,Reading,"Story Books, Bookmark Set, Novel, Book Light, Book Cover"
